request1_times,request2_times,total_request_times
0.0009622573852539062,0.0009748935699462891,0.0019371509552001953
0.0009772777557373047,0.0009768009185791016,0.0019540786743164062
0.0009610652923583984,0.0009403228759765625,0.001901388168334961
0.0010285377502441406,0.001009225845336914,0.0020377635955810547
0.001001596450805664,0.0009624958038330078,0.001964092254638672
0.0010194778442382812,0.00099945068359375,0.0020189285278320312
0.0009717941284179688,0.0009586811065673828,0.0019304752349853516
0.0009837150573730469,0.0010077953338623047,0.0019915103912353516
0.0011684894561767578,0.0012524127960205078,0.0024209022521972656
0.0012657642364501953,0.0012500286102294922,0.0025157928466796875
0.0012848377227783203,0.001260519027709961,0.0025453567504882812
0.0012514591217041016,0.0012776851654052734,0.002529144287109375
0.0013148784637451172,0.0013461112976074219,0.002660989761352539
0.0013549327850341797,0.0013396739959716797,0.0026946067810058594
0.0013573169708251953,0.0013308525085449219,0.002688169479370117
0.0013461112976074219,0.0013632774353027344,0.0027093887329101562
0.0013494491577148438,0.001325368881225586,0.0026748180389404297
0.0013930797576904297,0.0013387203216552734,0.002731800079345703
0.0013632774353027344,0.0013415813446044922,0.0027048587799072266
0.001333475112915039,0.0013844966888427734,0.0027179718017578125
0.0013256072998046875,0.0013976097106933594,0.002723217010498047
0.0013632774353027344,0.001373291015625,0.0027365684509277344
0.0013506412506103516,0.001369476318359375,0.0027201175689697266
0.0013358592987060547,0.0013556480407714844,0.002691507339477539
0.0013496875762939453,0.001386880874633789,0.0027365684509277344
0.0013396739959716797,0.001434326171875,0.0027740001678466797
0.0009515285491943359,0.0009202957153320312,0.0018718242645263672
0.0010166168212890625,0.0010020732879638672,0.0020186901092529297
0.0009717941284179688,0.0009570121765136719,0.0019288063049316406
0.000946044921875,0.0009508132934570312,0.0018968582153320312
0.0009622573852539062,0.0009799003601074219,0.0019421577453613281
0.0009775161743164062,0.0009636878967285156,0.0019412040710449219
0.0009288787841796875,0.0009715557098388672,0.0019004344940185547
0.0009744167327880859,0.0010144710540771484,0.0019888877868652344
0.0009906291961669922,0.0009326934814453125,0.0019233226776123047
0.0010528564453125,0.0010118484497070312,0.0020647048950195312
0.0009665489196777344,0.0009677410125732422,0.0019342899322509766
0.0010788440704345703,0.000997304916381836,0.0020761489868164062
0.0010027885437011719,0.0010075569152832031,0.002010345458984375
0.0010118484497070312,0.0010037422180175781,0.0020155906677246094
0.0009784698486328125,0.0009763240814208984,0.001954793930053711
0.0010309219360351562,0.0009632110595703125,0.0019941329956054688
0.0010166168212890625,0.0009655952453613281,0.0019822120666503906
0.0010075569152832031,0.0010042190551757812,0.0020117759704589844
0.0010249614715576172,0.0010182857513427734,0.0020432472229003906
0.0010311603546142578,0.001027822494506836,0.0020589828491210938
0.0010082721710205078,0.0009589195251464844,0.001967191696166992
0.0010333061218261719,0.0010247230529785156,0.0020580291748046875
0.0010802745819091797,0.001024007797241211,0.0021042823791503906
0.0010259151458740234,0.0010845661163330078,0.0021104812622070312
0.0009615421295166016,0.001016378402709961,0.0019779205322265625
0.00101470947265625,0.0010280609130859375,0.0020427703857421875
0.0010311603546142578,0.0010209083557128906,0.0020520687103271484
0.0010304450988769531,0.0010268688201904297,0.002057313919067383
0.0010204315185546875,0.0010247230529785156,0.002045154571533203
0.0010602474212646484,0.0009391307830810547,0.001999378204345703
0.0010132789611816406,0.0010139942169189453,0.002027273178100586
0.0010349750518798828,0.0010273456573486328,0.0020623207092285156
0.0009334087371826172,0.0009207725524902344,0.0018541812896728516
0.0009837150573730469,0.0009686946868896484,0.0019524097442626953
0.0009906291961669922,0.0009713172912597656,0.001961946487426758
0.000965118408203125,0.0009732246398925781,0.0019383430480957031
0.0009801387786865234,0.0009462833404541016,0.001926422119140625
0.0009531974792480469,0.0009524822235107422,0.001905679702758789
0.0009551048278808594,0.0009500980377197266,0.001905202865600586
0.0009188652038574219,0.0009703636169433594,0.0018892288208007812
0.0009748935699462891,0.0009756088256835938,0.0019505023956298828
0.0009725093841552734,0.0009722709655761719,0.0019447803497314453
0.000980377197265625,0.0009748935699462891,0.001955270767211914
0.0010454654693603516,0.0010051727294921875,0.002050638198852539
0.00096893310546875,0.0009686946868896484,0.0019376277923583984
0.001007080078125,0.0010395050048828125,0.0020465850830078125
0.0009772777557373047,0.0009701251983642578,0.0019474029541015625
0.0009295940399169922,0.0009710788726806641,0.0019006729125976562
0.0009734630584716797,0.0010018348693847656,0.0019752979278564453
0.0009570121765136719,0.0009758472442626953,0.0019328594207763672
0.0009753704071044922,0.0009889602661132812,0.0019643306732177734
0.0009775161743164062,0.0009756088256835938,0.001953125
0.0009744167327880859,0.0009765625,0.001950979232788086
0.0009770393371582031,0.0009281635284423828,0.001905202865600586
0.0009701251983642578,0.0009779930114746094,0.0019481182098388672
0.0009608268737792969,0.0010328292846679688,0.0019936561584472656
0.0009582042694091797,0.0009617805480957031,0.0019199848175048828
0.0009605884552001953,0.0009691715240478516,0.0019297599792480469
0.0010218620300292969,0.0009558200836181641,0.001977682113647461
